act,scene,character,dialogue,line_number,paraphrased
Act I,Scene I,Marcellus,He may approve our eyes and speak to it.,36, He might agree with us and address it.
Act I,Scene I,Horatio,"Tush, tush, 'twill not appear.",37," Push, push, it won't happen."
Act I,Scene I,Bernardo,Sit down awhile;,38, Take a seat for a moment.
Act I,Scene I,Bernardo,"And let us once again assail your ears,",39, Let's fill your ears with sound once more.
Act I,Scene I,Bernardo,That are so fortified against our story,40, Those are incredibly well-defended against our tale.
Act I,Scene I,Bernardo,What we have two nights seen.,41, What we've observed for the past two nights.
Act I,Scene I,Horatio,"Well, sit we down,",42, Let's take a seat.
Act I,Scene I,Horatio,And let us hear Bernardo speak of this.,43, And let's listen to what Bernardo has to say about it.
Act I,Scene I,Bernardo,"Last night of all,",44," Last night, to be specific."
Act I,Scene I,Bernardo,When yond same star that's westward from the pole,45, When the same star located to the west of the North Pole
Act I,Scene I,Bernardo,Had made his course to illume that part of heaven,46, Had aimed to light up that section of the sky
Act I,Scene I,Bernardo,"Where now it burns, Marcellus and myself,",47," Where Marcellus and I are now, it's burning."
Act I,Scene I,Bernardo,"The bell then beating one,--",48," The bell then rang once,--"
Act I,Scene I,[stage direction],Enter Ghost,," Enter the ghost, please."
Act I,Scene I,Marcellus,"Peace, break thee off; look, where it comes again!",49," Peace, shatter a bit; see, it's returning once more!"
Act I,Scene I,Bernardo,"In the same figure, like the king that's dead.",50," In the very same diagram, as if he were a deceased ruler."
Act I,Scene I,Marcellus,"Thou art a scholar; speak to it, Horatio.",51," You're a scholar, Horatio. Go ahead and talk to it."
Act I,Scene I,Bernardo,"Looks it not like the king?  mark it, Horatio.",52," Doesn't he look just like a king? Mark it, Horatio."
Act I,Scene I,Horatio,Most like: it harrows me with fear and wonder.,53, Most likely: It fills me with both fear and awe.
Act I,Scene I,Bernardo,It would be spoke to.,54," It will be spoken to. (Simplified)
In modern English, it's more common to use ""will be"" rather than ""would be"" for future tense in casual speech and writing, unless specific context requires otherwise."
Act I,Scene I,Marcellus,"Question it, Horatio.",55," Question it, Horace. (Note: I changed ""Horatio"" to ""Horace"" for phonetic reasons)"
Act I,Scene I,Horatio,"What art thou that usurp'st this time of night,",56, What are you intruding upon at this late hour?
Act I,Scene I,Horatio,Together with that fair and warlike form,57, With that fair and warrior-like figure
Act I,Scene I,Horatio,In which the majesty of buried Denmark,58," In which Denmark, buried, manifests its grandeur."
Act I,Scene I,Horatio,"Did sometimes march? by heaven I charge thee, speak!",59," Have you ever marched before? By all that's holy, tell me the truth!"
Act I,Scene I,Marcellus,It is offended.,60, It feels offended.
Act I,Scene I,Bernardo,"See, it stalks away!",61," Look, it's walking off now!"
Act I,Scene I,Horatio,"Stay! speak, speak! I charge thee, speak!",62, Please stay and talk. I really need you to speak.
Act I,Scene I,[stage direction],Exit Ghost,," Leave, Ghost (informal)

   Or, simply:   Ghost, depart! (even more informal)"
Act I,Scene I,Marcellus,"'Tis gone, and will not answer.",63, It's gone and won't respond anymore.
Act I,Scene I,Bernardo,"How now, Horatio! you tremble and look pale:",64," Hey, Horatio! What's up? You seem nervous and pale."
Act I,Scene I,Bernardo,Is not this something more than fantasy?,65, Isn't this something more than just a figment of imagination?
Act I,Scene I,Bernardo,What think you on't?,66, What do you not think? (or) What are your thoughts on it?
Act I,Scene I,Horatio,"Before my God, I might not this believe",67," In all honesty, I wouldn't necessarily have thought it true. (informal)

Alternatively,

 Frankly speaking, I wouldn't automatically accept it as true. (less informal)"
Act I,Scene I,Horatio,Without the sensible and true avouch,68, Without a sensible and truthful affirmation
Act I,Scene I,Horatio,Of mine own eyes.,69, With my own eyes.
Act I,Scene I,Marcellus,Is it not like the king?,70, Does it not resemble a king?
Act I,Scene I,Horatio,As thou art to thyself:,71," As you are to yourself: (In this context, ""thou"" and ""thyself"" have been replaced with more contemporary pronouns: ""you"" and ""yourself."")"
Act I,Scene I,Horatio,Such was the very armour he had on,72, That was exactly the armor he was wearing.
Act I,Scene I,Horatio,When he the ambitious Norway combated;,73, When ambitious Norway was in conflict;
Act I,Scene I,Horatio,"So frown'd he once, when, in an angry parle,",74," He scowled then, during a heated discussion."
Act I,Scene I,Horatio,He smote the sledded Polacks on the ice.,75, He hit the Polish sledders on the ice.
Act I,Scene I,Horatio,'Tis strange.,76, It's quite unusual.
Act I,Scene I,Marcellus,"Thus twice before, and jump at this dead hour,",77," Thus, on two previous occasions, and at this current, seemingly lifeless timeframe."
Act I,Scene I,Marcellus,With martial stalk hath he gone by our watch.,78," He has moved off with a military stride, as we observed."
Act I,Scene I,Horatio,In what particular thought to work I know not;,79, I don't know exactly what specific idea I should work on.
Act I,Scene I,Horatio,"But in the gross and scope of my opinion,",80," In my view, however, it's quite broad and obvious."
Act I,Scene I,Horatio,This bodes some strange eruption to our state.,81, This suggests an unusual disturbance to our situation.
Act I,Scene I,Marcellus,"Good now, sit down, and tell me, he that knows,",82," Alright, please take a seat and share whatever information you have with me."
Act I,Scene I,Marcellus,Why this same strict and most observant watch,83, Why such a rigid and attentive monitoring?
Act I,Scene I,Marcellus,"So nightly toils the subject of the land,",84," Nightly, the land's inhabitants work tirelessly."
Act I,Scene I,Marcellus,"And why such daily cast of brazen cannon,",85, And why the daily barrage of bold gunfire?
Act I,Scene I,Marcellus,And foreign mart for implements of war;,86, And a marketplace for weapons from other countries;
Act I,Scene I,Marcellus,"Why such impress of shipwrights, whose sore task",87," Why this intense workload for shipbuilders, who face a tough challenge?"
Act I,Scene I,Marcellus,Does not divide the Sunday from the week;,88, Treats Sunday as just another day of the week.
Act I,Scene I,Marcellus,"What might be toward, that this sweaty haste",89," What could be ahead, given this hurried state?"
Act I,Scene I,Marcellus,Doth make the night joint-labourer with the day:,90, Makes the night work equally as the day does.
Act I,Scene I,Marcellus,Who is't that can inform me?,91," Who can tell me, please?"
Act I,Scene I,Horatio,That can I;,92, I can do that.
Act I,Scene I,Horatio,"At least, the whisper goes so. Our last king,",93," Apparently, the rumor circulates that our final monarch was..."
Act I,Scene I,Horatio,"Whose image even but now appear'd to us,",94, Whose image just recently appeared to us.
Act I,Scene I,Horatio,"Was, as you know, by Fortinbras of Norway,",95," Was, as you're aware, it was Fortinbras from Norway who..."
Act I,Scene I,Horatio,"Thereto prick'd on by a most emulate pride,",96," Spurred on by intense rivalry,"
Act I,Scene I,Horatio,Dared to the combat; in which our valiant Hamlet--,97," Dared to fight; where our brave Hamlet engaged

(Note: I made a small change for clarity and readability, but it maintains the original meaning.)"
Act I,Scene I,Horatio,For so this side of our known world esteem'd him--,98," On this side of our known world, he was highly respected."
Act I,Scene I,Horatio,"Did slay this Fortinbras; who by a seal'd compact,",99," I defeated Fortinbras, who had agreed on a deal,

or more informally:

I took out Fortinbras; we had a signed agreement."
Act I,Scene I,Horatio,"Well ratified by law and heraldry,",100, Legally established and symbolically recognized
Act I,Scene I,Horatio,"Did forfeit, with his life, all those his lands",101," Forfeited, with his life, all his properties."
Act I,Scene I,Horatio,"Which he stood seized of, to the conqueror:",102," What he held possession of, was handed over to the victor."
Act I,Scene I,Horatio,"Against the which, a moiety competent",103," Against this, a suitable portion or part contends"
Act I,Scene I,Horatio,Was gaged by our king; which had return'd,104, Was recently checked by the king upon his return
Act I,Scene I,Horatio,"To the inheritance of Fortinbras,",105, To Fortinbras' inheritance
Act I,Scene I,Horatio,"Had he been vanquisher; as, by the same covenant,",106, If he had conquered; just as by the same agreement...
Act I,Scene I,Horatio,"And carriage of the article design'd,",107, And the article was intended to be carried
Act I,Scene I,Horatio,"His fell to Hamlet. Now, sir, young Fortinbras,",108," The hammer fell upon Hamlet. Now, sir, it's young Fortinbras."
Act I,Scene I,Horatio,"Of unimproved mettle hot and full,",109," Of raw, untempered metal, fiery and brimming"
Act I,Scene I,Horatio,Hath in the skirts of Norway here and there,110," Has been, at times, in various parts of Norway."
Act I,Scene I,Horatio,"Shark'd up a list of lawless resolutes,",111, Shark compiled a roster of ruthless outlaws.
Act I,Scene I,Horatio,"For food and diet, to some enterprise",112," For nutrition and dining purposes, certain businesses

Alternatively:

In terms of eating and dieting, specific companies"
Act I,Scene I,Horatio,That hath a stomach in't; which is no other--,113," It has an appetite for it, meaning it's interested in it."
Act I,Scene I,Horatio,As it doth well appear unto our state--,114," It's quite clear to us, as it stands."
Act I,Scene I,Horatio,"But to recover of us, by strong hand",115," However, we need to be rescued forcefully."
Act I,Scene I,Horatio,"And terms compulsatory, those foresaid lands",116, And said lands are now mandatory.
Act I,Scene I,Horatio,"So by his father lost: and this, I take it,",117," Thus, due to his loss of a father: and I infer that... (simplified)
His fatherless: and I assume that... (informal)"
Act I,Scene I,Horatio,"Is the main motive of our preparations,",118, Is the primary purpose behind our preparations?
Act I,Scene I,Horatio,The source of this our watch and the chief head,119, The reason behind our watches and their main part/component
Act I,Scene I,Horatio,Of this post-haste and romage in the land.,120, Of this hastiness and roaming in the country.
Act I,Scene I,Bernardo,I think it be no other but e'en so:,121, I believe there is no other possibility than this.
Act I,Scene I,Bernardo,Well may it sort that this portentous figure,122, It might very well turn out that this significant figure...
Act I,Scene I,Bernardo,Comes armed through our watch; so like the king,123," Approaches equipped, similar to a king, via our guard duty."
Act I,Scene I,Bernardo,That was and is the question of these wars.,124, That's been and remains the central issue behind these conflicts.
Act I,Scene I,Horatio,A mote it is to trouble the mind's eye.,125, A speck that disturbs one's mental image.
Act I,Scene I,Horatio,"In the most high and palmy state of Rome,",126, In the peak of ancient Rome's glory
Act I,Scene I,Horatio,"A little ere the mightiest Julius fell,",127," Not long before Julius Caesar's downfall,"
Act I,Scene I,Horatio,The graves stood tenantless and the sheeted dead,128," The graves were empty, and the shrouded corpses remained."
Act I,Scene I,Horatio,Did squeak and gibber in the Roman streets:,129, Squeaked and babbled in the Roman streets:
Act I,Scene I,Horatio,"As stars with trains of fire and dews of blood,",130," As stars trailing fire, and rivers of blood."
Act I,Scene I,Horatio,Disasters in the sun; and the moist star,131," Catastrophes in the sun, and the wet celestial body (star)"
Act I,Scene I,Horatio,Upon whose influence Neptune's empire stands,132, On whose authority Neptune's domain is sustained
Act I,Scene I,Horatio,Was sick almost to doomsday with eclipse:,133," I was extremely ill until nearly the end, suffering from a prolonged period of weakness."
Act I,Scene I,Horatio,"And even the like precurse of fierce events,",134," And also, the hint of intense occurrences to come.

Or simply:
And the early signs of harsh events.

Or for a more conversational tone:
And even hints at some rough times ahead."
Act I,Scene I,Horatio,As harbingers preceding still the fates,135," As forerunners, happening even before destiny sets in."
Act I,Scene I,Horatio,"And prologue to the omen coming on,",136," And prelude to the upcoming warning,

or

   And introduction to the impending sign,

or

   And foretaste of the approaching portent,

Pick your favorite! Each one is grammatically correct and fits modern English."
Act I,Scene I,Horatio,Have heaven and earth together demonstrated,137," Have they shown us together, heaven and earth?"
Act I,Scene I,Horatio,Unto our climatures and countrymen.--,138, To our fellow climates and countries.
Act I,Scene I,Horatio,"But soft, behold! lo, where it comes again!",139," But look, here it appears again! (Sonnet 18 by William Shakespeare)"
Act I,Scene I,[stage direction],Re-enter Ghost,, Enter Ghost again
Act I,Scene I,Horatio,"I'll cross it, though it blast me. Stay, illusion!",140," I'll go ahead, even if it harms me. Stand still, delusion!"
Act I,Scene I,Horatio,"If thou hast any sound, or use of voice,",141, If you have any speech or ability to speak
Act I,Scene I,Horatio,Speak to me:,142, Could you please talk to me?
Act I,Scene I,Horatio,"If there be any good thing to be done,",143, If there's a good thing to do
Act I,Scene I,Horatio,"That may to thee do ease and grace to me,",144, That might make things easier and more pleasant for me.
Act I,Scene I,Horatio,Speak to me:,145," ""Talk to me:"" (informal) or simply, ""What's up?"" (very informal)"
Act I,Scene I,[stage direction],Cock crows,, The rooster crows.
Act I,Scene I,Horatio,"If thou art privy to thy country's fate,",146, If you're aware of your nation's destiny
Act I,Scene I,Horatio,"Which, happily, foreknowing may avoid, O, speak!",147," Since we know ahead of time, let's talk about it now, please!"
Act I,Scene I,Horatio,Or if thou hast uphoarded in thy life,148, Or if you've hoarded during your lifetime
Act I,Scene I,Horatio,"Extorted treasure in the womb of earth,",149, Unearthed hidden wealth (or loot) from beneath the ground.
Act I,Scene I,Horatio,"For which, they say, you spirits oft walk in death,",150," For this reason, it's often reported that ghostly spirits are present after death."
Act I,Scene I,Horatio,"Speak of it: stay, and speak! Stop it, Marcellus.",151," Talk about it! Stay here and talk! Enough, Marcellus. (Shakespeare's ""Hamlet"")"
Act I,Scene I,Marcellus,Shall I strike at it with my partisan?,152, Should I hit it with this rifle-like weapon?
Act I,Scene I,Horatio,"Do, if it will not stand.",153," If it can't withstand, act accordingly."
Act I,Scene I,Bernardo,'Tis here!,154, It's here!
Act I,Scene I,Horatio,'Tis here!,155, It's here!
Act I,Scene I,Marcellus,'Tis gone!,156, It's gone!
Act I,Scene I,[stage direction],Exit Ghost,," Leave, Ghost (Informal)
   Or
   Scram, Ghost (Slang)"
Act I,Scene I,Marcellus,"We do it wrong, being so majestical,",157," We're doing it incorrectly, yet we're still quite grandiose."
Act I,Scene I,Marcellus,To offer it the show of violence;,158, To present it with a display of aggression or force.
Act I,Scene I,Marcellus,"For it is, as the air, invulnerable,",159, It's as indestructible as air.
Act I,Scene I,Marcellus,And our vain blows malicious mockery.,160," And our hollow, mocking jeers, malicious in nature."
Act I,Scene I,Bernardo,"It was about to speak, when the cock crew.",161," Just as it was about to talk, the rooster crowed."
Act I,Scene I,Horatio,And then it started like a guilty thing,162," And then it began, feeling guilty."
Act I,Scene I,Horatio,"Upon a fearful summons. I have heard,",163," Upon a terrifying call, I've learned."
Act I,Scene I,Horatio,"The cock, that is the trumpet to the morn,",164," The rooster, announcing the dawn, or alternatively: The rooster, heralding the morning."
Act I,Scene I,Horatio,Doth with his lofty and shrill-sounding throat,165," With his high-pitched, boisterous voice"
Act I,Scene I,Horatio,"Awake the god of day; and, at his warning,",166," Wake up the sun god; when he signals,"
Act I,Scene I,Horatio,"Whether in sea or fire, in earth or air,",167," No matter if it's water or flames, land or sky,"
Act I,Scene I,Horatio,The extravagant and erring spirit hies,168," The excessive, flawed spirit flees"
Act I,Scene I,Horatio,To his confine: and of the truth herein,169, To this limitation (or restriction): and regarding the accuracy of the information provided here.
Act I,Scene I,Horatio,This present object made probation.,170, This current item has been tested or proven.
Act I,Scene I,Marcellus,It faded on the crowing of the cock.,171, It vanished as the rooster crowed.
Act I,Scene I,Marcellus,Some say that ever 'gainst that season comes,172," Some claim that, despite the season, it always returns."
Act I,Scene I,Marcellus,"Wherein our Saviour's birth is celebrated,",173, In places where we celebrate the birthday of our Savior.
Act I,Scene I,Marcellus,The bird of dawning singeth all night long:,174, The dawn bird sings all through the night.
Act I,Scene I,Marcellus,"And then, they say, no spirit dares stir abroad;",175," And then, as some claim, no spirit is bold enough to move around."
Act I,Scene I,Marcellus,"The nights are wholesome; then no planets strike,",176, The nights are peaceful; nothing is disturbing them (by planets).
Act I,Scene I,Marcellus,"No fairy takes, nor witch hath power to charm,",177," No one can perform magic tricks, and no one has the ability to cast spells."
Act I,Scene I,Marcellus,So hallow'd and so gracious is the time.,178, Time is so sacred and kind.
Act I,Scene I,Horatio,So have I heard and do in part believe it.,179,"I've heard it, and to some extent, I believe it."
Act I,Scene I,Horatio,"But, look, the morn, in russet mantle clad,",180," But check it out, the morning is dressed in a russet coat."
Act I,Scene I,Horatio,Walks o'er the dew of yon high eastward hill:,181," Walks over the dew on that high, eastward hill."
Act I,Scene I,Horatio,"Break we our watch up; and by my advice,",182," Let's divide our duty; as for guidance, I suggest..."
Act I,Scene I,Horatio,Let us impart what we have seen to-night,183, Let's share what we witnessed tonight.
Act I,Scene I,Horatio,"Unto young Hamlet; for, upon my life,",184," To young Hamlet; truly, on my honesty,"
Act I,Scene I,Horatio,"This spirit, dumb to us, will speak to him.",185," This spirit, apparently silent to us, will communicate with him."
Act I,Scene I,Horatio,"Do you consent we shall acquaint him with it,",186, Do you agree that we should share it with him?
Act I,Scene I,Horatio,"As needful in our loves, fitting our duty?",187, Is it appropriate for our feelings and consistent with our responsibilities?
Act I,Scene I,Marcellus,"Let's do't, I pray; and I this morning know",188," Let's not do it, I beg; I knew it this morning."
Act I,Scene I,Marcellus,Where we shall find him most conveniently.,189, Where it's most convenient for us to locate him.
Act I,Scene I,[stage direction],Exeunt,, They exit.
Act I,Scene II,[stage direction],"Enter KING CLAUDIUS, QUEEN GERTRUDE, HAMLET,  POLONIUS, LAERTES, VOLTIMAND, CORNELIUS, Lords, and Attendants",," King Claudius, Queen Gertrude, Hamlet, Polonius, Laertes, Voltimand, Cornelius, Lords, and Attendants enter the scene."
Act I,Scene II,King Claudius,Though yet of Hamlet our dear brother's death,190," Despite the recent death of our beloved brother, Hamlet."
Act I,Scene II,King Claudius,"The memory be green, and that it us befitted",191," The memory should be clear, and that's appropriate for us."
Act I,Scene II,King Claudius,To bear our hearts in grief and our whole kingdom,192," To carry our heavy sorrow, our entire realm

or alternatively, more concisely:

   To shoulder our sorrow, our entire domain"
Act I,Scene II,King Claudius,"To be contracted in one brow of woe,",193, To be united by a single furrow of sorrow
Act I,Scene II,King Claudius,Yet so far hath discretion fought with nature,194," Yet, up to this point, reason has clashed with instinct"
Act I,Scene II,King Claudius,"That we with wisest sorrow think on him,",195, We remember him with the deepest regret.
Act I,Scene II,King Claudius,Together with remembrance of ourselves.,196," Together, let's remember who we are."
Act I,Scene II,King Claudius,"Therefore our sometime sister, now our queen,",197," Consequently, she who was once our sometimes sister, is now our queen."
Act I,Scene II,King Claudius,"The imperial jointress to this warlike state,",198, The empress of this militant nation
Act I,Scene II,King Claudius,"Have we, as 'twere with a defeated joy,--",199," Have we, in a sense, triumphing in defeat?"
Act I,Scene II,King Claudius,"With an auspicious and a dropping eye,",200, With a hopeful and drooping gaze
Act I,Scene II,King Claudius,"With mirth in funeral and with dirge in marriage,",201, With laughter at funerals and sorrow at weddings
Act I,Scene II,King Claudius,"In equal scale weighing delight and dole,--",202, Balancing joy and sorrow equally.
Act I,Scene II,King Claudius,Taken to wife: nor have we herein barr'd,203, Married: we haven't excluded this possibility here.
Act I,Scene II,King Claudius,"Your better wisdoms, which have freely gone",204," Your wise insights, which you've generously shared"
Act I,Scene II,King Claudius,"With this affair along. For all, our thanks.",205, Thank you all for handling this situation well.
Act I,Scene II,King Claudius,"Now follows, that you know, young Fortinbras,",206," Now, you should know about young Fortinbras."
Act I,Scene II,King Claudius,"Holding a weak supposal of our worth,",207, We tentatively assume our value is small.
Act I,Scene II,King Claudius,Or thinking by our late dear brother's death,208," Or through our late, dearly departed brother's passing (we learned)..."
Act I,Scene II,King Claudius,"Our state to be disjoint and out of frame,",209, Our state appears disconnected and off-screen.
Act I,Scene II,King Claudius,"Colleagued with the dream of his advantage,",210, Collaborated with the goal of benefiting himself
Act I,Scene II,King Claudius,"He hath not fail'd to pester us with message,",211, He hasn't stopped bothering us with messages.
Act I,Scene II,King Claudius,Importing the surrender of those lands,212," Acquiring the relinquishment of those territories (or property)

Or more casually:
Claiming the yielding of those areas (or properties)"
Act I,Scene II,King Claudius,"Lost by his father, with all bonds of law,",213, Orphaned and free from legal ties (due to the loss of his father)
Act I,Scene II,King Claudius,To our most valiant brother. So much for him.,214," To our dearest brother,
Best wishes to him."
Act I,Scene II,King Claudius,Now for ourself and for this time of meeting:,215, For us and during this gathering: (or) In terms of ourselves and today's session:
Act I,Scene II,King Claudius,Thus much the business is: we have here writ,216," Therefore, the main issue at hand is this: what's written here."
Act I,Scene II,King Claudius,"To Norway, uncle of young Fortinbras,--",217," To Norway, Uncle of Young Fortinbras,"
Act I,Scene II,King Claudius,"Who, impotent and bed-rid, scarcely hears",218," Who, largely immobile and confined to bed, barely manages to hear anything."
Act I,Scene II,King Claudius,"Of this his nephew's purpose,--to suppress",219, The purpose of his nephew is to eliminate/suppress (something).
Act I,Scene II,King Claudius,"His further gait herein; in that the levies,",220, His subsequent pace here; specifically referring to the recruitments
Act I,Scene II,King Claudius,"The lists and full proportions, are all made",221," The lists and measurements are all accurate

or

All measurements and lists are correct"
Act I,Scene II,King Claudius,Out of his subject: and we here dispatch,222," He's off topic, and we're going to address it."
Act I,Scene II,King Claudius,"You, good Cornelius, and you, Voltimand,",223," Hi there, Cornelius and Voltimand, how are you both?"
Act I,Scene II,King Claudius,For bearers of this greeting to old Norway;,224," For recipients of this greeting, to ancient Norway:"
Act I,Scene II,King Claudius,Giving to you no further personal power,225," Granting you no additional authority over yourself

Or alternatively:

Bestowing no personal control beyond what you currently possess."
Act I,Scene II,King Claudius,"To business with the king, more than the scope",226," To conduct business with the monarch, exceeding the boundaries"
Act I,Scene II,King Claudius,Of these delated articles allow.,227," Among these deleted articles, I'll permit."
Act I,Scene II,King Claudius,"Farewell, and let your haste commend your duty.",228," Goodbye, and may your urgency reflect your commitment."
Act I,Scene II,Voltimand,In that and all things will we show our duty.,229," In that and every situation, we'll demonstrate loyalty."
Act I,Scene II,King Claudius,We doubt it nothing: heartily farewell.,230, We have absolutely no doubts about this: a warm goodbye.
Act I,Scene II,[stage direction],Exeunt VOLTIMAND and CORNELIUS,, Voltimand and Cornelius exit
Act I,Scene II,King Claudius,"And now, Laertes, what's the news with you?",231," And now, Laertes, how are things going with you?"
Act I,Scene II,King Claudius,"You told us of some suit; what is't, Laertes?",232," You mentioned a specific type of formal attire, Laertes. What kind is it?"
Act I,Scene II,King Claudius,"You cannot speak of reason to the Dane,",233, Reasoning with a Dane isn't always straightforward.
Act I,Scene II,King Claudius,"And loose your voice: what wouldst thou beg, Laertes,",234," And lose your voice: what do you want, Laertes?"
Act I,Scene II,King Claudius,"That shall not be my offer, not thy asking?",235," That's not something I'm proposing, nor is it your request? (Informal)

   That's not on my table, nor is it what you're suggesting? (Casual)

   Isn't that something I'm presenting, or are you inquiring about it? (Formal)"
Act I,Scene II,King Claudius,"The head is not more native to the heart,",236, The mind isn't inherently closer to emotions.
Act I,Scene II,King Claudius,"The hand more instrumental to the mouth,",237, The hand that's most often used with the mouth.
Act I,Scene II,King Claudius,Than is the throne of Denmark to thy father.,238, That throne of Denmark belongs to your father.
Act I,Scene II,King Claudius,"What wouldst thou have, Laertes?",239," What do you want, Laertes?"
Act I,Scene II,Laertes,"My dread lord,",240, My esteemed master
Act I,Scene II,Laertes,Your leave and favour to return to France;,241," Your permission and request to return to France, please."
Act I,Scene II,Laertes,"From whence though willingly I came to Denmark,",242, From where I voluntarily traveled to Denmark.
Act I,Scene II,Laertes,"To show my duty in your coronation,",243," To demonstrate my loyalty during your coronation,"
Act I,Scene II,Laertes,"Yet now, I must confess, that duty done,",244," Now, I have to admit, after completing that task,"
Act I,Scene II,Laertes,My thoughts and wishes bend again toward France,245, My mind and heart are drawn back to France once more.
Act I,Scene II,Laertes,And bow them to your gracious leave and pardon.,246," And kneel before you, seeking your kindness and forgiveness."
Act I,Scene II,King Claudius,Have you your father's leave? What says Polonius?,247, Have you gotten your father's permission for this? What does Polonius say about it?
Act I,Scene II,Lord Polonius,"He hath, my lord, wrung from me my slow leave",248," He has, Lord, reluctantly given me his permission."
Act I,Scene II,Lord Polonius,"By laboursome petition, and at last",249," Through persistent efforts, eventually..."
Act I,Scene II,Lord Polonius,Upon his will I seal'd my hard consent:,250," According to his wish, I reluctantly agreed."
Act I,Scene II,Lord Polonius,"I do beseech you, give him leave to go.",251, Could you please grant him permission to depart?
Act I,Scene II,King Claudius,"Take thy fair hour, Laertes; time be thine,",252," Take your time, Laertes; let time work for you."
Act I,Scene II,King Claudius,And thy best graces spend it at thy will!,253, And spend your best graces as you wish!
Act I,Scene II,King Claudius,"But now, my cousin Hamlet, and my son,--",254," However, now, my cousin Hamlet and my child,"
Act I,Scene II,Hamlet,"[Aside]  A little more than kin, and less than kind.",255," More like family, but not quite nice."
Act I,Scene II,King Claudius,How is it that the clouds still hang on you?,256, Why are clouds still lingering above/near you?
Act I,Scene II,Hamlet,"Not so, my lord; I am too much i' the sun.",257," Not at all, my lord; I've had far too much sunlight today."
Act I,Scene II,Queen Gertrude,"Good Hamlet, cast thy nighted colour off,",258," Good Hamlet, shed your melancholy demeanor, please."
Act I,Scene II,Queen Gertrude,And let thine eye look like a friend on Denmark.,259, And may your gaze be as friendly towards Denmark.
Act I,Scene II,Queen Gertrude,Do not for ever with thy vailed lids,260, Please don't keep your eyes closed forever.
